node1,node2,port1,port2
30_8_9,30_8_1,0,8
30_8_8,30_8_1,0,7
30_8_7,30_8_1,0,6
30_8_6,30_8_1,0,5
30_8_5,30_8_1,0,4
30_8_4,30_8_1,0,3
30_8_3,30_8_1,0,2
30_8_2,30_8_1,0,1
30_8_17,30_8_1,0,16
30_8_16,30_8_1,0,15
30_8_15,30_8_1,0,14
30_8_14,30_8_1,0,13
30_8_13,30_8_1,0,12
30_8_12,30_8_1,0,11
30_8_11,30_8_1,0,10
30_8_10,30_8_1,0,9
21_7_8,21_7_1,0,7
21_7_9,21_7_1,0,8
21_7_2,21_7_1,0,1
21_7_3,21_7_1,0,2
21_7_6,21_7_1,0,5
21_7_7,21_7_1,0,6
21_7_4,21_7_1,0,3
21_7_5,21_7_1,0,4
21_7_10,21_7_1,0,9
21_7_11,21_7_1,0,10
21_7_12,21_7_1,0,11
21_7_13,21_7_1,0,12
21_7_14,21_7_1,0,13
21_7_15,21_7_1,0,14
21_7_16,21_7_1,0,15
21_7_17,21_7_1,0,16
28_7_3,28_7_1,0,2
28_7_2,28_7_1,0,1
28_7_7,28_7_1,0,6
28_7_6,28_7_1,0,5
28_7_5,28_7_1,0,4
28_7_4,28_7_1,0,3
28_7_9,28_7_1,0,8
28_7_8,28_7_1,0,7
28_7_13,28_7_1,0,12
28_7_12,28_7_1,0,11
28_7_11,28_7_1,0,10
28_7_10,28_7_1,0,9
28_7_17,28_7_1,0,16
28_7_16,28_7_1,0,15
28_7_15,28_7_1,0,14
28_7_14,28_7_1,0,13
28_11_9,28_11_1,0,8
28_11_8,28_11_1,0,7
28_11_5,28_11_1,0,4
28_11_4,28_11_1,0,3
28_11_7,28_11_1,0,6
28_11_6,28_11_1,0,5
28_11_3,28_11_1,0,2
28_11_2,28_11_1,0,1
28_11_11,28_11_1,0,10
28_11_10,28_11_1,0,9
28_11_13,28_11_1,0,12
28_11_12,28_11_1,0,11
28_11_15,28_11_1,0,14
28_11_14,28_11_1,0,13
28_11_17,28_11_1,0,16
28_11_16,28_11_1,0,15
20_3_17,20_3_1,0,16
20_3_16,20_3_1,0,15
20_3_15,20_3_1,0,14
20_3_14,20_3_1,0,13
20_3_13,20_3_1,0,12
20_3_12,20_3_1,0,11
20_3_11,20_3_1,0,10
20_3_10,20_3_1,0,9
20_3_9,20_3_1,0,8
20_3_8,20_3_1,0,7
20_3_7,20_3_1,0,6
20_3_6,20_3_1,0,5
20_3_5,20_3_1,0,4
20_3_4,20_3_1,0,3
20_3_3,20_3_1,0,2
20_3_2,20_3_1,0,1
2_8_17,2_8_1,0,16
2_8_16,2_8_1,0,15
2_8_15,2_8_1,0,14
2_8_14,2_8_1,0,13
2_8_13,2_8_1,0,12
2_8_11,2_8_1,0,10
2_8_10,2_8_1,0,9
2_8_12,2_8_1,0,11
2_8_6,2_8_1,0,5
2_8_5,2_8_1,0,4
2_8_4,2_8_1,0,3
2_8_3,2_8_1,0,2
2_8_2,2_8_1,0,1
2_8_9,2_8_1,0,8
2_8_8,2_8_1,0,7
2_8_7,2_8_1,0,6
0_14_9,0_14_1,0,8
0_14_8,0_14_1,0,7
0_14_3,0_14_1,0,2
0_14_2,0_14_1,0,1
0_14_7,0_14_1,0,6
0_14_6,0_14_1,0,5
0_14_5,0_14_1,0,4
0_14_4,0_14_1,0,3
0_14_13,0_14_1,0,12
0_14_12,0_14_1,0,11
0_14_11,0_14_1,0,10
0_14_10,0_14_1,0,9
0_14_17,0_14_1,0,16
0_14_16,0_14_1,0,15
0_14_15,0_14_1,0,14
0_14_14,0_14_1,0,13
18_11_2,18_11_1,0,1
18_11_14,18_11_1,0,13
18_11_15,18_11_1,0,14
18_11_16,18_11_1,0,15
18_11_17,18_11_1,0,16
18_11_10,18_11_1,0,9
18_11_11,18_11_1,0,10
18_11_12,18_11_1,0,11
18_11_13,18_11_1,0,12
18_11_8,18_11_1,0,7
18_11_9,18_11_1,0,8
18_11_3,18_11_1,0,2
18_11_6,18_11_1,0,5
18_11_7,18_11_1,0,6
18_11_4,18_11_1,0,3
18_11_5,18_11_1,0,4
26_6_11,26_6_1,0,10
26_6_16,26_6_1,0,15
26_6_17,26_6_1,0,16
26_6_14,26_6_1,0,13
26_6_15,26_6_1,0,14
26_6_12,26_6_1,0,11
26_6_13,26_6_1,0,12
26_6_10,26_6_1,0,9
26_6_8,26_6_1,0,7
26_6_9,26_6_1,0,8
26_6_4,26_6_1,0,3
26_6_5,26_6_1,0,4
26_6_6,26_6_1,0,5
26_6_7,26_6_1,0,6
26_6_2,26_6_1,0,1
26_6_3,26_6_1,0,2
24_3_13,24_3_1,0,12
24_3_12,24_3_1,0,11
24_3_11,24_3_1,0,10
24_3_10,24_3_1,0,9
24_3_17,24_3_1,0,16
24_3_16,24_3_1,0,15
24_3_15,24_3_1,0,14
24_3_14,24_3_1,0,13
24_3_3,24_3_1,0,2
24_3_2,24_3_1,0,1
24_3_7,24_3_1,0,6
24_3_6,24_3_1,0,5
24_3_5,24_3_1,0,4
24_3_4,24_3_1,0,3
24_3_9,24_3_1,0,8
24_3_8,24_3_1,0,7
31_13_3,31_13_1,0,2
31_13_2,31_13_1,0,1
31_13_5,31_13_1,0,4
31_13_4,31_13_1,0,3
31_13_7,31_13_1,0,6
31_13_6,31_13_1,0,5
31_13_9,31_13_1,0,8
31_13_8,31_13_1,0,7
31_13_15,31_13_1,0,14
31_13_14,31_13_1,0,13
31_13_17,31_13_1,0,16
31_13_16,31_13_1,0,15
31_13_11,31_13_1,0,10
31_13_10,31_13_1,0,9
31_13_13,31_13_1,0,12
31_13_12,31_13_1,0,11
29_9_12,29_9_1,0,11
29_9_13,29_9_1,0,12
29_9_10,29_9_1,0,9
29_9_11,29_9_1,0,10
29_9_16,29_9_1,0,15
29_9_17,29_9_1,0,16
29_9_14,29_9_1,0,13
29_9_15,29_9_1,0,14
29_9_2,29_9_1,0,1
29_9_3,29_9_1,0,2
29_9_4,29_9_1,0,3
29_9_5,29_9_1,0,4
29_9_6,29_9_1,0,5
29_9_7,29_9_1,0,6
29_9_8,29_9_1,0,7
29_9_9,29_9_1,0,8
17_13_11,17_13_1,0,10
17_13_10,17_13_1,0,9
17_13_13,17_13_1,0,12
17_13_12,17_13_1,0,11
17_13_15,17_13_1,0,14
17_13_14,17_13_1,0,13
17_13_17,17_13_1,0,16
17_13_16,17_13_1,0,15
17_13_9,17_13_1,0,8
17_13_8,17_13_1,0,7
17_13_5,17_13_1,0,4
17_13_4,17_13_1,0,3
17_13_7,17_13_1,0,6
17_13_6,17_13_1,0,5
17_13_3,17_13_1,0,2
17_13_2,17_13_1,0,1
9_6_10,9_6_1,0,9
9_6_11,9_6_1,0,10
9_6_12,9_6_1,0,11
9_6_13,9_6_1,0,12
9_6_14,9_6_1,0,13
9_6_15,9_6_1,0,14
9_6_16,9_6_1,0,15
9_6_17,9_6_1,0,16
9_6_6,9_6_1,0,5
9_6_7,9_6_1,0,6
9_6_4,9_6_1,0,3
9_6_5,9_6_1,0,4
9_6_2,9_6_1,0,1
9_6_3,9_6_1,0,2
9_6_8,9_6_1,0,7
9_6_9,9_6_1,0,8
17_12_16,17_12_1,0,15
17_12_17,17_12_1,0,16
17_12_14,17_12_1,0,13
17_12_15,17_12_1,0,14
17_12_12,17_12_1,0,11
17_12_13,17_12_1,0,12
17_12_10,17_12_1,0,9
17_12_11,17_12_1,0,10
17_12_4,17_12_1,0,3
17_12_5,17_12_1,0,4
17_12_6,17_12_1,0,5
17_12_7,17_12_1,0,6
17_12_2,17_12_1,0,1
17_12_3,17_12_1,0,2
17_12_8,17_12_1,0,7
17_12_9,17_12_1,0,8
1_0_16,1_0_1,0,15
1_0_17,1_0_1,0,16
1_0_14,1_0_1,0,13
1_0_15,1_0_1,0,14
1_0_12,1_0_1,0,11
1_0_13,1_0_1,0,12
1_0_10,1_0_1,0,9
1_0_11,1_0_1,0,10
1_0_8,1_0_1,0,7
1_0_9,1_0_1,0,8
1_0_4,1_0_1,0,3
1_0_5,1_0_1,0,4
1_0_6,1_0_1,0,5
1_0_7,1_0_1,0,6
1_0_2,1_0_1,0,1
1_0_3,1_0_1,0,2
1_11_5,1_11_1,0,4
1_11_9,1_11_1,0,8
1_11_8,1_11_1,0,7
1_11_16,1_11_1,0,15
1_11_3,1_11_1,0,2
1_11_2,1_11_1,0,1
1_11_4,1_11_1,0,3
1_11_7,1_11_1,0,6
1_11_6,1_11_1,0,5
1_11_15,1_11_1,0,14
1_11_14,1_11_1,0,13
1_11_17,1_11_1,0,16
1_11_11,1_11_1,0,10
1_11_10,1_11_1,0,9
1_11_13,1_11_1,0,12
1_11_12,1_11_1,0,11
29_0_3,29_0_1,0,2
29_0_2,29_0_1,0,1
29_0_4,29_0_1,0,3
29_0_7,29_0_1,0,6
29_0_6,29_0_1,0,5
29_0_9,29_0_1,0,8
29_0_8,29_0_1,0,7
29_0_15,29_0_1,0,14
29_0_14,29_0_1,0,13
29_0_17,29_0_1,0,16
29_0_16,29_0_1,0,15
29_0_11,29_0_1,0,10
29_0_10,29_0_1,0,9
29_0_13,29_0_1,0,12
29_0_12,29_0_1,0,11
29_0_5,29_0_1,0,4
27_12_13,27_12_1,0,12
27_12_12,27_12_1,0,11
27_12_11,27_12_1,0,10
27_12_10,27_12_1,0,9
27_12_17,27_12_1,0,16
27_12_16,27_12_1,0,15
27_12_15,27_12_1,0,14
27_12_14,27_12_1,0,13
27_12_9,27_12_1,0,8
27_12_8,27_12_1,0,7
27_12_7,27_12_1,0,6
27_12_6,27_12_1,0,5
27_12_5,27_12_1,0,4
27_12_4,27_12_1,0,3
27_12_3,27_12_1,0,2
27_12_2,27_12_1,0,1
30_7_8,30_7_1,0,7
30_7_9,30_7_1,0,8
30_7_4,30_7_1,0,3
30_7_5,30_7_1,0,4
30_7_6,30_7_1,0,5
30_7_7,30_7_1,0,6
30_7_2,30_7_1,0,1
30_7_3,30_7_1,0,2
30_7_16,30_7_1,0,15
