node1,node2,port1,port2
64_20_12,6_51_1,7,44
64_20_12,9_51_1,10,44
64_20_12,7_51_1,8,44
64_20_12,8_51_1,9,44
36_31_1,36_39_1,40,32
36_31_1,36_36_1,37,32
36_31_1,36_44_1,45,32
36_31_1,36_49_1,50,32
36_31_1,36_52_1,53,32
36_31_1,36_37_1,38,32
36_31_1,36_61_1,62,32
36_31_1,36_60_1,61,32
36_31_1,36_38_1,39,32
36_31_1,36_48_1,49,32
36_31_1,36_59_1,60,32
36_31_1,36_63_1,64,32
36_31_1,36_62_1,63,32
36_31_1,36_33_1,34,32
36_31_1,36_53_1,54,32
36_31_1,36_34_1,35,32
36_31_1,36_40_1,41,32
36_31_1,36_50_1,51,32
36_31_1,36_55_1,56,32
36_31_1,36_32_1,33,32
36_31_1,36_47_1,48,32
36_31_1,36_54_1,55,32
36_31_1,36_41_1,42,32
36_31_1,36_57_1,58,32
36_31_1,36_56_1,57,32
36_31_1,36_45_1,46,32
36_31_1,36_51_1,52,32
36_31_1,36_58_1,59,32
36_31_1,36_43_1,44,32
36_31_1,36_46_1,47,32
36_31_1,36_35_1,36,32
36_31_1,36_42_1,43,32
48_8_1,48_34_1,35,9
64_3_19,48_34_1,49,51
64_3_17,48_34_1,49,49
64_3_16,48_34_1,49,48
48_9_1,48_34_1,35,10
64_3_14,48_34_1,49,46
64_3_12,48_34_1,49,44
64_3_11,48_34_1,49,43
64_3_23,48_34_1,49,55
48_5_1,48_34_1,35,6
64_3_18,48_34_1,49,50
64_3_26,48_34_1,49,58
64_3_27,48_34_1,49,59
64_3_24,48_34_1,49,56
64_3_25,48_34_1,49,57
64_3_22,48_34_1,49,54
64_3_21,48_34_1,49,53
64_3_15,48_34_1,49,47
64_3_28,48_34_1,49,60
48_4_1,48_34_1,35,5
48_6_1,48_34_1,35,7
64_3_32,48_34_1,49,64
64_3_20,48_34_1,49,52
48_7_1,48_34_1,35,8
64_3_13,48_34_1,49,45
64_3_31,48_34_1,49,63
64_3_29,48_34_1,49,61
64_3_30,48_34_1,49,62
48_3_1,48_34_1,35,4
64_3_9,48_34_1,49,41
64_3_8,48_34_1,49,40
64_3_7,48_34_1,49,39
64_3_6,48_34_1,49,38
64_3_4,48_34_1,49,36
64_3_3,48_34_1,49,35
64_3_2,48_34_1,49,34
64_3_1,48_34_1,49,33
64_3_10,48_34_1,49,42
64_3_5,48_34_1,49,37
49_21_1,49_50_1,51,22
49_21_1,49_55_1,56,22
49_21_1,49_52_1,53,22
49_21_1,49_35_1,36,22
49_21_1,49_56_1,57,22
49_21_1,49_32_1,33,22
49_21_1,49_33_1,34,22
49_21_1,49_36_1,37,22
49_21_1,49_51_1,52,22
49_21_1,49_53_1,54,22
49_21_1,49_34_1,35,22
49_21_1,49_44_1,45,22
49_21_1,49_54_1,55,22
49_21_1,49_37_1,38,22
49_21_1,49_45_1,46,22
49_21_1,49_49_1,50,22
49_21_1,49_40_1,41,22
49_21_1,49_47_1,48,22
49_21_1,49_48_1,49,22
49_21_1,49_63_1,64,22
49_21_1,49_59_1,60,22
49_21_1,49_46_1,47,22
49_21_1,49_62_1,63,22
49_21_1,49_41_1,42,22
49_21_1,49_43_1,44,22
49_21_1,49_38_1,39,22
49_21_1,49_57_1,58,22
49_21_1,49_61_1,62,22
49_21_1,49_58_1,59,22
49_21_1,49_42_1,43,22
49_21_1,49_39_1,40,22
49_21_1,49_60_1,61,22
2_27_1,2_42_1,43,28
2_27_1,2_52_1,53,28
2_27_1,2_43_1,44,28
2_27_1,2_62_1,63,28
2_27_1,2_39_1,40,28
2_27_1,2_50_1,51,28
2_27_1,2_59_1,60,28
2_27_1,2_38_1,39,28
2_27_1,2_53_1,54,28
2_27_1,2_58_1,59,28
2_27_1,2_35_1,36,28
2_27_1,2_51_1,52,28
2_27_1,2_61_1,62,28
2_27_1,2_41_1,42,28
2_27_1,2_34_1,35,28
2_27_1,2_48_1,49,28
2_27_1,2_33_1,34,28
2_27_1,2_57_1,58,28
2_27_1,2_55_1,56,28
2_27_1,2_45_1,46,28
2_27_1,2_54_1,55,28
2_27_1,2_60_1,61,28
2_27_1,2_40_1,41,28
2_27_1,2_37_1,38,28
2_27_1,2_47_1,48,28
2_27_1,2_63_1,64,28
2_27_1,2_36_1,37,28
2_27_1,2_44_1,45,28
2_27_1,2_46_1,47,28
2_27_1,2_56_1,57,28
2_27_1,2_32_1,33,28
2_27_1,2_49_1,50,28
20_3_1,20_47_1,48,4
20_3_1,20_56_1,57,4
20_3_1,20_57_1,58,4
20_3_1,20_41_1,42,4
20_3_1,20_55_1,56,4
20_3_1,20_43_1,44,4
20_3_1,20_40_1,41,4
20_3_1,20_52_1,53,4
20_3_1,20_62_1,63,4
20_3_1,20_63_1,64,4
20_3_1,20_50_1,51,4
20_3_1,20_58_1,59,4
20_3_1,20_61_1,62,4
20_3_1,20_48_1,49,4
20_3_1,20_51_1,52,4
20_3_1,20_49_1,50,4
20_3_1,20_59_1,60,4
20_3_1,20_60_1,61,4
20_3_1,20_46_1,47,4
20_3_1,20_53_1,54,4
20_3_1,20_45_1,46,4
20_3_1,20_54_1,55,4
20_3_1,20_42_1,43,4
20_3_1,20_44_1,45,4
64_15_32,21_46_1,22,64
21_5_1,21_46_1,47,6
21_8_1,21_46_1,47,9
