node1,node2,port1,port2
6_3_4,6_3_1,0,3
6_3_5,6_3_1,0,4
6_3_2,6_3_1,0,1
6_3_3,6_3_1,0,2
6_1_4,6_1_1,0,3
6_1_2,6_1_1,0,1
6_1_3,6_1_1,0,2
6_1_5,6_1_1,0,4
5_0_2,5_0_1,0,1
5_0_3,5_0_1,0,2
5_0_4,5_0_1,0,3
5_0_5,5_0_1,0,4
1_2_2,1_2_1,0,1
1_2_3,1_2_1,0,2
1_2_4,1_2_1,0,3
1_2_5,1_2_1,0,4
3_0_4,3_0_1,0,3
3_0_5,3_0_1,0,4
3_0_2,3_0_1,0,1
3_0_3,3_0_1,0,2
6_2_5,6_2_1,0,4
6_2_4,6_2_1,0,3
6_2_3,6_2_1,0,2
6_2_2,6_2_1,0,1
5_1_3,5_1_1,0,2
5_1_2,5_1_1,0,1
5_1_4,5_1_1,0,3
5_1_5,5_1_1,0,4
4_1_2,4_1_1,0,1
4_1_3,4_1_1,0,2
4_1_4,4_1_1,0,3
4_1_5,4_1_1,0,4
2_2_3,2_2_1,0,2
2_2_2,2_2_1,0,1
2_2_5,2_2_1,0,4
2_2_4,2_2_1,0,3
4_3_4,4_3_1,0,3
4_3_5,4_3_1,0,4
4_3_2,4_3_1,0,1
4_3_3,4_3_1,0,2
6_0_3,6_0_1,0,2
6_0_2,6_0_1,0,1
6_0_5,6_0_1,0,4
6_0_4,6_0_1,0,3
3_3_3,3_3_1,0,2
3_3_2,3_3_1,0,1
3_3_5,3_3_1,0,4
3_3_4,3_3_1,0,3
3_1_5,3_1_1,0,4
3_1_3,3_1_1,0,2
3_1_2,3_1_1,0,1
3_1_4,3_1_1,0,3
1_0_4,1_0_1,0,3
1_0_5,1_0_1,0,4
1_0_2,1_0_1,0,1
1_0_3,1_0_1,0,2
7_3_5,7_3_1,0,4
7_3_4,7_3_1,0,3
7_3_3,7_3_1,0,2
7_3_2,7_3_1,0,1
7_1_3,7_1_1,0,2
7_1_2,7_1_1,0,1
7_1_5,7_1_1,0,4
7_1_4,7_1_1,0,3
2_3_2,2_3_1,0,1
2_3_3,2_3_1,0,2
2_3_4,2_3_1,0,3
2_3_5,2_3_1,0,4
2_1_4,2_1_1,0,3
2_1_5,2_1_1,0,4
2_1_2,2_1_1,0,1
2_1_3,2_1_1,0,2
5_2_4,5_2_1,0,3
5_2_5,5_2_1,0,4
5_2_2,5_2_1,0,1
5_2_3,5_2_1,0,2
4_0_5,4_0_1,0,4
4_0_3,4_0_1,0,2
4_0_2,4_0_1,0,1
4_0_4,4_0_1,0,3
4_2_5,4_2_1,0,4
4_2_4,4_2_1,0,3
4_2_3,4_2_1,0,2
4_2_2,4_2_1,0,1
3_2_2,3_2_1,0,1
3_2_3,3_2_1,0,2
3_2_4,3_2_1,0,3
3_2_5,3_2_1,0,4
1_1_5,1_1_1,0,4
1_1_4,1_1_1,0,3
1_1_3,1_1_1,0,2
1_1_2,1_1_1,0,1
7_2_4,7_2_1,0,3
7_2_5,7_2_1,0,4
7_2_2,7_2_1,0,1
7_2_3,7_2_1,0,2
0_0_5,0_0_1,0,4
0_0_4,0_0_1,0,3
0_0_3,0_0_1,0,2
0_0_2,0_0_1,0,1
0_2_3,0_2_1,0,2
0_2_2,0_2_1,0,1
0_2_5,0_2_1,0,4
0_2_4,0_2_1,0,3
7_0_4,7_0_1,0,3
7_0_2,7_0_1,0,1
7_0_3,7_0_1,0,2
7_0_5,7_0_1,0,4
1_3_3,1_3_1,0,2
1_3_2,1_3_1,0,1
1_3_5,1_3_1,0,4
1_3_4,1_3_1,0,3
0_1_4,0_1_1,0,3
0_1_5,0_1_1,0,4
0_1_2,0_1_1,0,1
0_1_3,0_1_1,0,2
5_3_5,5_3_1,0,4
5_3_4,5_3_1,0,3
5_3_3,5_3_1,0,2
5_3_2,5_3_1,0,1
2_0_4,2_0_1,0,3
2_0_5,2_0_1,0,4
2_0_3,2_0_1,0,2
2_0_2,2_0_1,0,1
0_3_2,0_3_1,0,1
0_3_3,0_3_1,0,2
0_3_4,0_3_1,0,3
0_3_5,0_3_1,0,4
