node1,node2,port1,port2
0_22_1,3_22_23,1,0
0_25_1,3_25_26,1,0
0_15_1,3_15_16,1,0
0_23_1,3_23_24,1,0
0_14_1,3_14_15,1,0
0_26_1,3_26_27,1,0
0_35_1,3_35_36,1,0
0_27_1,3_27_28,1,0
0_38_1,3_38_39,1,0
0_24_1,3_24_25,1,0
0_16_1,3_16_17,1,0
0_21_1,3_21_22,1,0
0_18_1,3_18_19,1,0
0_11_1,3_11_12,1,0
0_31_1,3_31_32,1,0
0_10_1,3_10_11,1,0
0_12_1,3_12_13,1,0
0_5_1,3_5_6,1,0
0_34_1,3_34_35,1,0
0_37_1,3_37_38,1,0
0_19_1,3_19_20,1,0
0_32_1,3_32_33,1,0
0_7_1,3_7_8,1,0
0_4_1,3_4_5,1,0
0_13_1,3_13_14,1,0
0_20_1,3_20_21,1,0
0_36_1,3_36_37,1,0
0_8_1,3_8_9,1,0
0_33_1,3_33_34,1,0
0_9_1,3_9_10,1,0
0_6_1,3_6_7,1,0
0_28_1,3_28_29,1,0
0_0_1,3_0_1,1,0
0_29_1,3_29_30,1,0
0_2_1,3_2_3,1,0
0_17_1,3_17_18,1,0
0_30_1,3_30_31,1,0
0_3_1,3_3_4,1,0
0_1_1,3_1_2,1,0
