id,ip,layer,mac,dpid
1_1_3,10.1.1.3,3,00:00:00:01:01:03,0000000000010103
1_1_2,10.1.1.2,3,00:00:00:01:01:02,0000000000010102
2_0_3,10.2.0.3,3,00:00:00:02:00:03,0000000000020003
2_0_2,10.2.0.2,3,00:00:00:02:00:02,0000000000020002
0_0_3,10.0.0.3,3,00:00:00:00:00:03,0000000000000003
0_0_2,10.0.0.2,3,00:00:00:00:00:02,0000000000000002
3_1_2,10.3.1.2,3,00:00:00:03:01:02,0000000000030102
2_1_2,10.2.1.2,3,00:00:00:02:01:02,0000000000020102
2_1_3,10.2.1.3,3,00:00:00:02:01:03,0000000000020103
0_1_2,10.0.1.2,3,00:00:00:00:01:02,0000000000000102
0_1_3,10.0.1.3,3,00:00:00:00:01:03,0000000000000103
3_1_3,10.3.1.3,3,00:00:00:03:01:03,0000000000030103
3_0_2,10.3.0.2,3,00:00:00:03:00:02,0000000000030002
3_0_3,10.3.0.3,3,00:00:00:03:00:03,0000000000030003
1_0_2,10.1.0.2,3,00:00:00:01:00:02,0000000000010002
1_0_3,10.1.0.3,3,00:00:00:01:00:03,0000000000010003
