id,ip,layer,mac,dpid
3_25_26,10.3.25.26,3,00:00:00:03:19:1a,000000000003191a
3_33_34,10.3.33.34,3,00:00:00:03:21:22,0000000000032122
3_20_21,10.3.20.21,3,00:00:00:03:14:15,0000000000031415
3_5_6,10.3.5.6,3,00:00:00:03:05:06,0000000000030506
3_31_32,10.3.31.32,3,00:00:00:03:1f:20,0000000000031f20
3_10_11,10.3.10.11,3,00:00:00:03:0a:0b,0000000000030a0b
3_16_17,10.3.16.17,3,00:00:00:03:10:11,0000000000031011
3_28_29,10.3.28.29,3,00:00:00:03:1c:1d,0000000000031c1d
3_3_4,10.3.3.4,3,00:00:00:03:03:04,0000000000030304
3_39_40,10.3.39.40,3,00:00:00:03:27:28,0000000000032728
3_24_25,10.3.24.25,3,00:00:00:03:18:19,0000000000031819
3_26_27,10.3.26.27,3,00:00:00:03:1a:1b,0000000000031a1b
3_11_12,10.3.11.12,3,00:00:00:03:0b:0c,0000000000030b0c
3_37_38,10.3.37.38,3,00:00:00:03:25:26,0000000000032526
3_34_35,10.3.34.35,3,00:00:00:03:22:23,0000000000032223
3_23_24,10.3.23.24,3,00:00:00:03:17:18,0000000000031718
3_30_31,10.3.30.31,3,00:00:00:03:1e:1f,0000000000031e1f
3_9_10,10.3.9.10,3,00:00:00:03:09:0a,000000000003090a
3_8_9,10.3.8.9,3,00:00:00:03:08:09,0000000000030809
3_38_39,10.3.38.39,3,00:00:00:03:26:27,0000000000032627
3_15_16,10.3.15.16,3,00:00:00:03:0f:10,0000000000030f10
3_27_28,10.3.27.28,3,00:00:00:03:1b:1c,0000000000031b1c
3_17_18,10.3.17.18,3,00:00:00:03:11:12,0000000000031112
3_14_15,10.3.14.15,3,00:00:00:03:0e:0f,0000000000030e0f
3_19_20,10.3.19.20,3,00:00:00:03:13:14,0000000000031314
3_2_3,10.3.2.3,3,00:00:00:03:02:03,0000000000030203
3_32_33,10.3.32.33,3,00:00:00:03:20:21,0000000000032021
3_1_2,10.3.1.2,3,00:00:00:03:01:02,0000000000030102
3_21_22,10.3.21.22,3,00:00:00:03:15:16,0000000000031516
3_29_30,10.3.29.30,3,00:00:00:03:1d:1e,0000000000031d1e
3_35_36,10.3.35.36,3,00:00:00:03:23:24,0000000000032324
3_0_1,10.3.0.1,3,00:00:00:03:00:01,0000000000030001
3_18_19,10.3.18.19,3,00:00:00:03:12:13,0000000000031213
3_12_13,10.3.12.13,3,00:00:00:03:0c:0d,0000000000030c0d
3_6_7,10.3.6.7,3,00:00:00:03:06:07,0000000000030607
3_7_8,10.3.7.8,3,00:00:00:03:07:08,0000000000030708
3_22_23,10.3.22.23,3,00:00:00:03:16:17,0000000000031617
3_13_14,10.3.13.14,3,00:00:00:03:0d:0e,0000000000030d0e
3_4_5,10.3.4.5,3,00:00:00:03:04:05,0000000000030405
3_36_37,10.3.36.37,3,00:00:00:03:24:25,0000000000032425
