node1,node2,port1,port2
14_5_8,14_5_1,0,7
14_5_9,14_5_1,0,8
14_5_4,14_5_1,0,3
14_5_5,14_5_1,0,4
14_5_6,14_5_1,0,5
14_5_7,14_5_1,0,6
14_5_2,14_5_1,0,1
14_5_3,14_5_1,0,2
13_1_7,13_1_1,0,6
13_1_6,13_1_1,0,5
13_1_5,13_1_1,0,4
13_1_4,13_1_1,0,3
13_1_3,13_1_1,0,2
13_1_2,13_1_1,0,1
13_1_9,13_1_1,0,8
13_1_8,13_1_1,0,7
8_2_9,8_2_1,0,8
8_2_8,8_2_1,0,7
8_2_3,8_2_1,0,2
8_2_2,8_2_1,0,1
8_2_7,8_2_1,0,6
8_2_6,8_2_1,0,5
8_2_5,8_2_1,0,4
8_2_4,8_2_1,0,3
15_7_9,15_7_1,0,8
15_7_8,15_7_1,0,7
15_7_3,15_7_1,0,2
15_7_2,15_7_1,0,1
15_7_7,15_7_1,0,6
15_7_6,15_7_1,0,5
15_7_5,15_7_1,0,4
15_7_4,15_7_1,0,3
5_1_3,5_1_1,0,2
5_1_2,5_1_1,0,1
5_1_5,5_1_1,0,4
5_1_4,5_1_1,0,3
5_1_7,5_1_1,0,6
5_1_6,5_1_1,0,5
5_1_9,5_1_1,0,8
5_1_8,5_1_1,0,7
5_3_7,5_3_1,0,6
5_3_6,5_3_1,0,5
5_3_5,5_3_1,0,4
5_3_4,5_3_1,0,3
5_3_3,5_3_1,0,2
5_3_2,5_3_1,0,1
5_3_9,5_3_1,0,8
5_3_8,5_3_1,0,7
5_5_5,5_5_1,0,4
5_5_4,5_5_1,0,3
5_5_7,5_5_1,0,6
5_5_6,5_5_1,0,5
5_5_3,5_5_1,0,2
5_5_2,5_5_1,0,1
5_5_9,5_5_1,0,8
5_5_8,5_5_1,0,7
7_7_9,7_7_1,0,8
7_7_8,7_7_1,0,7
7_7_3,7_7_1,0,2
7_7_2,7_7_1,0,1
7_7_5,7_7_1,0,4
7_7_4,7_7_1,0,3
7_7_7,7_7_1,0,6
7_7_6,7_7_1,0,5
7_5_9,7_5_1,0,8
7_5_8,7_5_1,0,7
7_5_7,7_5_1,0,6
7_5_6,7_5_1,0,5
7_5_5,7_5_1,0,4
7_5_4,7_5_1,0,3
7_5_3,7_5_1,0,2
7_5_2,7_5_1,0,1
7_3_9,7_3_1,0,8
7_3_8,7_3_1,0,7
7_3_5,7_3_1,0,4
7_3_4,7_3_1,0,3
7_3_7,7_3_1,0,6
7_3_6,7_3_1,0,5
7_3_3,7_3_1,0,2
7_3_2,7_3_1,0,1
7_1_3,7_1_1,0,2
7_1_2,7_1_1,0,1
7_1_7,7_1_1,0,6
7_1_6,7_1_1,0,5
7_1_5,7_1_1,0,4
7_1_4,7_1_1,0,3
7_1_9,7_1_1,0,8
7_1_8,7_1_1,0,7
2_3_2,2_3_1,0,1
2_3_3,2_3_1,0,2
2_3_4,2_3_1,0,3
2_3_5,2_3_1,0,4
2_3_6,2_3_1,0,5
2_3_7,2_3_1,0,6
2_3_8,2_3_1,0,7
2_3_9,2_3_1,0,8
2_1_6,2_1_1,0,5
2_1_7,2_1_1,0,6
2_1_4,2_1_1,0,3
2_1_5,2_1_1,0,4
2_1_2,2_1_1,0,1
2_1_3,2_1_1,0,2
2_1_8,2_1_1,0,7
2_1_9,2_1_1,0,8
5_7_9,5_7_1,0,8
5_7_8,5_7_1,0,7
5_7_3,5_7_1,0,2
5_7_2,5_7_1,0,1
5_7_7,5_7_1,0,6
5_7_6,5_7_1,0,5
5_7_5,5_7_1,0,4
5_7_4,5_7_1,0,3
1_7_7,1_7_1,0,6
1_7_6,1_7_1,0,5
1_7_5,1_7_1,0,4
1_7_4,1_7_1,0,3
1_7_3,1_7_1,0,2
1_7_2,1_7_1,0,1
1_7_9,1_7_1,0,8
1_7_8,1_7_1,0,7
1_1_5,1_1_1,0,4
1_1_4,1_1_1,0,3
1_1_7,1_1_1,0,6
1_1_6,1_1_1,0,5
1_1_3,1_1_1,0,2
1_1_2,1_1_1,0,1
1_1_9,1_1_1,0,8
1_1_8,1_1_1,0,7
2_4_3,2_4_1,0,2
2_4_2,2_4_1,0,1
2_4_7,2_4_1,0,6
2_4_6,2_4_1,0,5
2_4_5,2_4_1,0,4
2_4_4,2_4_1,0,3
2_4_9,2_4_1,0,8
2_4_8,2_4_1,0,7
1_5_3,1_5_1,0,2
1_5_2,1_5_1,0,1
1_5_5,1_5_1,0,4
1_5_4,1_5_1,0,3
1_5_7,1_5_1,0,6
1_5_6,1_5_1,0,5
1_5_9,1_5_1,0,8
1_5_8,1_5_1,0,7
2_0_9,2_0_1,0,8
2_0_8,2_0_1,0,7
2_0_7,2_0_1,0,6
2_0_6,2_0_1,0,5
2_0_5,2_0_1,0,4
2_0_4,2_0_1,0,3
2_0_3,2_0_1,0,2
2_0_2,2_0_1,0,1
2_6_9,2_6_1,0,8
2_6_8,2_6_1,0,7
2_6_5,2_6_1,0,4
2_6_4,2_6_1,0,3
2_6_7,2_6_1,0,6
2_6_6,2_6_1,0,5
2_6_3,2_6_1,0,2
2_6_2,2_6_1,0,1
9_3_3,9_3_1,0,2
9_3_2,9_3_1,0,1
9_3_7,9_3_1,0,6
9_3_6,9_3_1,0,5
9_3_5,9_3_1,0,4
9_3_4,9_3_1,0,3
9_3_9,9_3_1,0,8
9_3_8,9_3_1,0,7
5_0_8,5_0_1,0,7
5_0_9,5_0_1,0,8
5_0_2,5_0_1,0,1
5_0_3,5_0_1,0,2
5_0_4,5_0_1,0,3
5_0_5,5_0_1,0,4
5_0_6,5_0_1,0,5
5_0_7,5_0_1,0,6
1_2_2,1_2_1,0,1
1_2_3,1_2_1,0,2
1_2_6,1_2_1,0,5
1_2_7,1_2_1,0,6
1_2_4,1_2_1,0,3
1_2_5,1_2_1,0,4
1_2_8,1_2_1,0,7
1_2_9,1_2_1,0,8
5_2_8,5_2_1,0,7
5_2_9,5_2_1,0,8
5_2_6,5_2_1,0,5
5_2_7,5_2_1,0,6
5_2_4,5_2_1,0,3
5_2_5,5_2_1,0,4
5_2_2,5_2_1,0,1
5_2_3,5_2_1,0,2
10_6_9,10_6_1,0,8
10_6_8,10_6_1,0,7
10_6_7,10_6_1,0,6
10_6_6,10_6_1,0,5
10_6_5,10_6_1,0,4
10_6_4,10_6_1,0,3
10_6_3,10_6_1,0,2
10_6_2,10_6_1,0,1
5_4_8,5_4_1,0,7
5_4_9,5_4_1,0,8
5_4_4,5_4_1,0,3
5_4_5,5_4_1,0,4
5_4_6,5_4_1,0,5
5_4_7,5_4_1,0,6
5_4_2,5_4_1,0,1
5_4_3,5_4_1,0,2
14_6_3,14_6_1,0,2
14_6_2,14_6_1,0,1
14_6_7,14_6_1,0,6
14_6_6,14_6_1,0,5
14_6_5,14_6_1,0,4
14_6_4,14_6_1,0,3
14_6_9,14_6_1,0,8
14_6_8,14_6_1,0,7
5_6_2,5_6_1,0,1
5_6_3,5_6_1,0,2
5_6_6,5_6_1,0,5
5_6_7,5_6_1,0,6
5_6_4,5_6_1,0,3
5_6_5,5_6_1,0,4
5_6_8,5_6_1,0,7
5_6_9,5_6_1,0,8
9_6_6,9_6_1,0,5
9_6_7,9_6_1,0,6
9_6_4,9_6_1,0,3
9_6_5,9_6_1,0,4
9_6_2,9_6_1,0,1
9_6_3,9_6_1,0,2
9_6_8,9_6_1,0,7
9_6_9,9_6_1,0,8
2_2_9,2_2_1,0,8
2_2_8,2_2_1,0,7
2_2_3,2_2_1,0,2
2_2_2,2_2_1,0,1
2_2_5,2_2_1,0,4
2_2_4,2_2_1,0,3
2_2_7,2_2_1,0,6
2_2_6,2_2_1,0,5
13_2_2,13_2_1,0,1
13_2_3,13_2_1,0,2
13_2_4,13_2_1,0,3
13_2_5,13_2_1,0,4
13_2_6,13_2_1,0,5
13_2_7,13_2_1,0,6
13_2_8,13_2_1,0,7
13_2_9,13_2_1,0,8
11_4_2,11_4_1,0,1
11_4_3,11_4_1,0,2
11_4_4,11_4_1,0,3
11_4_5,11_4_1,0,4
11_4_6,11_4_1,0,5
11_4_7,11_4_1,0,6
11_4_8,11_4_1,0,7
11_4_9,11_4_1,0,8
6_0_9,6_0_1,0,8
6_0_8,6_0_1,0,7
6_0_3,6_0_1,0,2
6_0_2,6_0_1,0,1
6_0_7,6_0_1,0,6
6_0_6,6_0_1,0,5
6_0_5,6_0_1,0,4
6_0_4,6_0_1,0,3
11_1_5,11_1_1,0,4
11_1_4,11_1_1,0,3
11_1_7,11_1_1,0,6
11_1_6,11_1_1,0,5
11_1_3,11_1_1,0,2
11_1_2,11_1_1,0,1
11_1_9,11_1_1,0,8
11_1_8,11_1_1,0,7
1_6_8,1_6_1,0,7
1_6_9,1_6_1,0,8
1_6_6,1_6_1,0,5
1_6_7,1_6_1,0,6
1_6_4,1_6_1,0,3
1_6_5,1_6_1,0,4
1_6_2,1_6_1,0,1
1_6_3,1_6_1,0,2
1_0_8,1_0_1,0,7
1_0_9,1_0_1,0,8
1_0_4,1_0_1,0,3
1_0_5,1_0_1,0,4
1_0_6,1_0_1,0,5
1_0_7,1_0_1,0,6
1_0_2,1_0_1,0,1
1_0_3,1_0_1,0,2
6_6_3,6_6_1,0,2
6_6_2,6_6_1,0,1
6_6_5,6_6_1,0,4
6_6_4,6_6_1,0,3
