node1,node2,port1,port2
4_2_2,2_3_1,3,4
4_2_1,2_3_1,3,3
2_0_1,2_2_1,3,1
2_0_1,2_3_1,4,1
2_1_1,2_2_1,3,2
2_1_1,2_3_1,4,2
4_1_1,2_2_1,3,3
4_1_2,2_2_1,3,4
4_1_1,1_2_1,2,3
4_1_2,1_2_1,2,4
4_2_1,1_3_1,2,3
4_2_2,1_3_1,2,4
3_0_1,3_3_1,4,1
3_0_1,3_2_1,3,1
4_2_2,3_3_1,4,4
4_2_1,3_3_1,4,3
4_1_1,3_2_1,4,3
4_1_2,3_2_1,4,4
3_1_1,3_3_1,4,2
3_1_1,3_2_1,3,2
1_1_1,1_3_1,4,2
1_1_1,1_2_1,3,2
0_1_1,0_2_1,3,2
0_1_1,0_3_1,4,2
1_0_1,1_3_1,4,1
1_0_1,1_2_1,3,1
0_0_1,0_2_1,3,1
0_0_1,0_3_1,4,1
4_1_1,0_2_1,1,3
4_1_2,0_2_1,1,4
4_2_1,0_3_1,1,3
4_2_2,0_3_1,1,4
