node1,node2,port1,port2
0_22_1,0_23_1,6,3
0_22_1,0_26_1,4,2
0_22_1,0_27_1,5,3
0_7_1,0_25_1,4,2
0_8_1,0_25_1,5,3
0_9_1,0_25_1,3,4
0_9_1,0_15_1,6,2
0_15_1,0_29_1,4,4
0_5_1,0_23_1,4,2
0_23_1,0_29_1,4,5
0_35_1,0_36_1,3,3
0_27_1,0_28_1,4,2
0_38_1,0_39_1,3,3
0_24_1,0_34_1,3,5
0_24_1,0_25_1,2,5
0_4_1,0_16_1,8,2
0_16_1,0_34_1,3,4
0_21_1,0_27_1,2,2
0_9_1,0_18_1,4,2
0_11_1,0_13_1,2,2
0_4_1,0_31_1,11,3
0_3_1,0_10_1,2,2
0_12_1,0_22_1,5,2
0_12_1,0_15_1,6,3
0_12_1,0_13_1,4,3
0_12_1,0_14_1,2,2
0_12_1,0_20_1,3,2
0_7_1,0_34_1,5,3
0_3_1,0_19_1,3,2
0_32_1,0_34_1,3,6
0_7_1,0_8_1,3,3
0_4_1,0_5_1,5,3
0_4_1,0_8_1,7,2
0_4_1,0_6_1,6,2
0_13_1,0_22_1,4,3
0_13_1,0_14_1,5,3
0_36_1,0_37_1,4,2
0_8_1,0_9_1,4,2
0_33_1,0_34_1,3,7
0_6_1,0_7_1,3,2
0_28_1,0_29_1,3,6
0_0_1,0_4_1,4,2
0_0_1,0_34_1,5,2
0_0_1,0_2_1,3,2
0_0_1,0_30_1,6,2
0_0_1,0_1_1,2,2
0_4_1,0_29_1,10,2
0_9_1,0_29_1,5,3
0_2_1,0_35_1,4,2
0_2_1,0_32_1,3,2
0_2_1,0_36_1,7,2
0_2_1,0_4_1,5,3
0_2_1,0_31_1,8,2
0_2_1,0_38_1,6,2
0_4_1,0_17_1,9,2
0_17_1,0_30_1,3,4
0_30_1,0_39_1,5,2
0_3_1,0_30_1,6,3
0_3_1,0_4_1,4,4
0_3_1,0_5_1,5,2
0_1_1,0_33_1,3,2
