id,layer,dpid
8_3_2,0,0000000000080302
8_3_3,0,0000000000080303
8_3_1,0,0000000000080301
8_3_4,0,0000000000080304
8_4_1,0,0000000000080401
8_2_3,0,0000000000080203
8_4_3,0,0000000000080403
8_4_2,0,0000000000080402
8_4_4,0,0000000000080404
8_1_4,0,0000000000080104
8_2_2,0,0000000000080202
8_2_1,0,0000000000080201
8_2_4,0,0000000000080204
8_1_1,0,0000000000080101
8_1_2,0,0000000000080102
8_1_3,0,0000000000080103
2_4_1,1,0000000000020401
5_6_1,1,0000000000050601
3_5_1,1,0000000000030501
2_5_1,1,0000000000020501
7_5_1,1,0000000000070501
7_7_1,1,0000000000070701
5_7_1,1,0000000000050701
7_6_1,1,0000000000070601
7_4_1,1,0000000000070401
1_5_1,1,0000000000010501
0_5_1,1,0000000000000501
5_5_1,1,0000000000050501
4_5_1,1,0000000000040501
1_4_1,1,0000000000010401
5_4_1,1,0000000000050401
1_7_1,1,0000000000010701
0_7_1,1,0000000000000701
0_4_1,1,0000000000000401
4_4_1,1,0000000000040401
1_6_1,1,0000000000010601
4_6_1,1,0000000000040601
4_7_1,1,0000000000040701
0_6_1,1,0000000000000601
6_6_1,1,0000000000060601
3_7_1,1,0000000000030701
2_7_1,1,0000000000020701
6_7_1,1,0000000000060701
3_6_1,1,0000000000030601
3_4_1,1,0000000000030401
6_4_1,1,0000000000060401
2_6_1,1,0000000000020601
6_5_1,1,0000000000060501
2_3_1,2,0000000000020301
6_2_1,2,0000000000060201
7_3_1,2,0000000000070301
6_3_1,2,0000000000060301
5_1_1,2,0000000000050101
4_1_1,2,0000000000040101
6_1_1,2,0000000000060101
2_1_1,2,0000000000020101
2_2_1,2,0000000000020201
5_0_1,2,0000000000050001
1_2_1,2,0000000000010201
5_3_1,2,0000000000050301
4_3_1,2,0000000000040301
4_0_1,2,0000000000040001
6_0_1,2,0000000000060001
7_1_1,2,0000000000070101
5_2_1,2,0000000000050201
1_3_1,2,0000000000010301
4_2_1,2,0000000000040201
3_3_1,2,0000000000030301
3_2_1,2,0000000000030201
1_1_1,2,0000000000010101
0_1_1,2,0000000000000101
3_1_1,2,0000000000030101
1_0_1,2,0000000000010001
3_0_1,2,0000000000030001
7_0_1,2,0000000000070001
0_0_1,2,0000000000000001
2_0_1,2,0000000000020001
0_2_1,2,0000000000000201
0_3_1,2,0000000000000301
7_2_1,2,0000000000070201
