node1,node2,port1,port2
1_7_1,1_31_1,32,8
1_5_1,1_31_1,32,6
1_4_1,1_31_1,32,5
1_3_1,1_31_1,32,4
32_16_14,1_31_1,2,30
1_6_1,1_31_1,32,7
32_16_9,1_31_1,2,25
32_16_8,1_31_1,2,24
1_8_1,1_31_1,32,9
32_16_1,1_31_1,2,17
32_16_3,1_31_1,2,19
32_16_2,1_31_1,2,18
32_16_5,1_31_1,2,21
32_16_4,1_31_1,2,20
32_16_7,1_31_1,2,23
32_16_6,1_31_1,2,22
32_16_15,1_31_1,2,31
32_16_16,1_31_1,2,32
32_16_11,1_31_1,2,27
32_16_10,1_31_1,2,26
32_16_13,1_31_1,2,29
32_16_12,1_31_1,2,28
1_9_1,1_31_1,32,10
2_3_1,2_27_1,28,4
2_4_1,2_27_1,28,5
2_5_1,2_27_1,28,6
2_2_1,2_27_1,28,3
2_9_1,2_27_1,28,10
32_12_11,2_27_1,3,27
32_12_10,2_27_1,3,26
32_12_13,2_27_1,3,29
32_12_12,2_27_1,3,28
32_12_15,2_27_1,3,31
32_12_14,2_27_1,3,30
2_8_1,2_27_1,28,9
32_12_16,2_27_1,3,32
32_12_5,2_27_1,3,21
32_12_4,2_27_1,3,20
32_12_7,2_27_1,3,23
32_12_6,2_27_1,3,22
32_12_1,2_27_1,3,17
2_7_1,2_27_1,28,8
32_12_3,2_27_1,3,19
32_12_2,2_27_1,3,18
32_12_9,2_27_1,3,25
32_12_8,2_27_1,3,24
2_6_1,2_27_1,28,7
32_5_1,25_20_1,26,17
32_5_2,25_20_1,26,18
32_5_3,25_20_1,26,19
25_8_1,25_20_1,21,9
32_5_6,25_20_1,26,22
32_5_8,25_20_1,26,24
32_5_9,25_20_1,26,25
25_7_1,25_20_1,21,8
32_5_4,25_20_1,26,20
25_9_1,25_20_1,21,10
32_5_5,25_20_1,26,21
32_5_7,25_20_1,26,23
32_5_12,25_20_1,26,28
25_4_1,25_20_1,21,5
32_5_13,25_20_1,26,29
32_5_10,25_20_1,26,26
32_5_11,25_20_1,26,27
32_5_16,25_20_1,26,32
32_5_14,25_20_1,26,30
32_5_15,25_20_1,26,31
25_6_1,25_20_1,21,7
25_3_1,25_20_1,21,4
25_5_1,25_20_1,21,6
25_2_1,25_20_1,21,3
28_11_1,28_24_1,25,12
28_11_1,28_25_1,26,12
28_11_1,28_17_1,18,12
28_11_1,28_22_1,23,12
28_11_1,28_23_1,24,12
28_11_1,28_28_1,29,12
28_11_1,28_29_1,30,12
28_11_1,28_30_1,31,12
28_11_1,28_19_1,20,12
28_11_1,28_18_1,19,12
28_11_1,28_31_1,32,12
28_11_1,28_16_1,17,12
28_11_1,28_21_1,22,12
28_11_1,28_26_1,27,12
28_11_1,28_20_1,21,12
28_11_1,28_27_1,28,12
0_14_1,0_22_1,23,15
0_14_1,0_24_1,25,15
0_14_1,0_16_1,17,15
0_14_1,0_25_1,26,15
0_14_1,0_18_1,19,15
0_14_1,0_31_1,32,15
0_14_1,0_23_1,24,15
0_14_1,0_19_1,20,15
0_14_1,0_30_1,31,15
0_14_1,0_21_1,22,15
0_14_1,0_28_1,29,15
0_14_1,0_26_1,27,15
0_14_1,0_29_1,30,15
0_14_1,0_17_1,18,15
0_14_1,0_27_1,28,15
0_14_1,0_20_1,21,15
32_11_13,10_26_1,11,29
10_4_1,10_26_1,27,5
32_11_14,10_26_1,11,30
32_11_15,10_26_1,11,31
32_11_16,10_26_1,11,32
32_11_10,10_26_1,11,26
32_11_11,10_26_1,11,27
32_11_12,10_26_1,11,28
32_11_7,10_26_1,11,23
10_3_1,10_26_1,27,4
10_5_1,10_26_1,27,6
10_2_1,10_26_1,27,3
10_8_1,10_26_1,27,9
32_11_8,10_26_1,11,24
32_11_9,10_26_1,11,25
10_7_1,10_26_1,27,8
32_11_2,10_26_1,11,18
32_11_3,10_26_1,11,19
32_11_1,10_26_1,11,17
32_11_6,10_26_1,11,22
10_9_1,10_26_1,27,10
32_11_4,10_26_1,11,20
32_11_5,10_26_1,11,21
10_6_1,10_26_1,27,7
18_11_1,18_28_1,29,12
18_11_1,18_30_1,31,12
18_11_1,18_29_1,30,12
18_11_1,18_25_1,26,12
18_11_1,18_31_1,32,12
18_11_1,18_17_1,18,12
18_11_1,18_24_1,25,12
18_11_1,18_23_1,24,12
18_11_1,18_16_1,17,12
18_11_1,18_27_1,28,12
18_11_1,18_20_1,21,12
18_11_1,18_26_1,27,12
18_11_1,18_18_1,19,12
18_11_1,18_19_1,20,12
18_11_1,18_22_1,23,12
18_11_1,18_21_1,22,12
5_6_1,5_16_1,17,7
5_1_1,5_16_1,17,2
5_8_1,5_16_1,17,9
5_7_1,5_16_1,17,8
5_3_1,5_16_1,17,4
5_9_1,5_16_1,17,10
5_2_1,5_16_1,17,3
5_5_1,5_16_1,17,6
5_4_1,5_16_1,17,5
32_5_1,20_20_1,21,17
32_5_2,20_20_1,21,18
32_5_3,20_20_1,21,19
32_5_5,20_20_1,21,21
32_5_6,20_20_1,21,22
32_5_7,20_20_1,21,23
32_5_8,20_20_1,21,24
32_5_9,20_20_1,21,25
20_8_1,20_20_1,21,9
20_9_1,20_20_1,21,10
32_5_4,20_20_1,21,20
32_5_13,20_20_1,21,29
20_6_1,20_20_1,21,7
20_7_1,20_20_1,21,8
32_5_12,20_20_1,21,28
32_5_10,20_20_1,21,26
32_5_11,20_20_1,21,27
32_5_16,20_20_1,21,32
20_4_1,20_20_1,21,5
32_5_14,20_20_1,21,30
32_5_15,20_20_1,21,31
20_5_1,20_20_1,21,6
20_2_1,20_20_1,21,3
20_3_1,20_20_1,21,4
31_13_1,31_22_1,23,14
31_13_1,31_30_1,31,14
31_13_1,31_24_1,25,14
31_13_1,31_25_1,26,14
31_13_1,31_26_1,27,14
31_13_1,31_27_1,28,14
31_13_1,31_16_1,17,14
31_13_1,31_20_1,21,14
31_13_1,31_29_1,30,14
31_13_1,31_21_1,22,14
31_13_1,31_23_1,24,14
31_13_1,31_19_1,20,14
31_13_1,31_31_1,32,14
31_13_1,31_17_1,18,14
31_13_1,31_28_1,29,14
31_13_1,31_18_1,19,14
17_13_1,17_19_1,20,14
17_13_1,17_18_1,19,14
17_13_1,17_27_1,28,14
17_13_1,17_20_1,21,14
17_13_1,17_29_1,30,14
17_13_1,17_26_1,27,14
17_13_1,17_21_1,22,14
17_13_1,17_31_1,32,14
17_13_1,17_17_1,18,14
17_13_1,17_22_1,23,14
17_13_1,17_16_1,17,14
17_13_1,17_28_1,29,14
17_13_1,17_23_1,24,14
17_13_1,17_24_1,25,14
17_13_1,17_30_1,31,14
17_13_1,17_25_1,26,14
32_13_16,25_28_1,26,32
32_13_14,25_28_1,26,30
32_13_15,25_28_1,26,31
25_8_1,25_28_1,29,9
32_13_10,25_28_1,26,26
25_7_1,25_28_1,29,8
32_13_12,25_28_1,26,28
25_9_1,25_28_1,29,10
32_13_13,25_28_1,26,29
32_13_11,25_28_1,26,27
25_4_1,25_28_1,29,5
32_13_8,25_28_1,26,24
32_13_9,25_28_1,26,25
32_13_4,25_28_1,26,20
32_13_5,25_28_1,26,21
32_13_6,25_28_1,26,22
32_13_7,25_28_1,26,23
32_13_1,25_28_1,26,17
32_13_2,25_28_1,26,18
32_13_3,25_28_1,26,19
25_6_1,25_28_1,29,7
25_3_1,25_28_1,29,4
25_5_1,25_28_1,29,6
25_2_1,25_28_1,29,3
18_5_1,18_30_1,31,6
18_4_1,18_30_1,31,5
18_3_1,18_30_1,31,4
32_15_12,18_30_1,19,28
32_15_8,18_30_1,19,24
32_15_10,18_30_1,19,26
32_15_11,18_30_1,19,27
32_15_13,18_30_1,19,29
32_15_14,18_30_1,19,30
18_9_1,18_30_1,31,10
32_15_16,18_30_1,19,32
18_8_1,18_30_1,31,9
32_15_1,18_30_1,19,17
18_6_1,18_30_1,31,7
18_7_1,18_30_1,31,8
32_15_15,18_30_1,19,31
32_15_9,18_30_1,19,25
32_15_6,18_30_1,19,22
32_15_7,18_30_1,19,23
32_15_4,18_30_1,19,20
32_15_5,18_30_1,19,21
32_15_2,18_30_1,19,18
32_15_3,18_30_1,19,19
17_12_1,17_28_1,29,13
17_12_1,17_23_1,24,13
17_12_1,17_31_1,32,13
17_12_1,17_30_1,31,13
17_12_1,17_19_1,20,13
17_12_1,17_18_1,19,13
17_12_1,17_16_1,17,13
17_12_1,17_27_1,28,13
17_12_1,17_24_1,25,13
17_12_1,17_20_1,21,13
17_12_1,17_29_1,30,13
17_12_1,17_26_1,27,13
17_12_1,17_21_1,22,13
17_12_1,17_17_1,18,13
17_12_1,17_22_1,23,13
17_12_1,17_25_1,26,13
1_0_1,1_25_1,26,1
1_0_1,1_22_1,23,1
1_0_1,1_30_1,31,1
1_0_1,1_24_1,25,1
1_0_1,1_19_1,20,1
1_0_1,1_23_1,24,1
1_0_1,1_17_1,18,1
1_0_1,1_28_1,29,1
1_0_1,1_21_1,22,1
1_0_1,1_18_1,19,1
1_0_1,1_20_1,21,1
1_0_1,1_31_1,32,1
1_0_1,1_27_1,28,1
1_0_1,1_16_1,17,1
1_0_1,1_29_1,30,1
1_0_1,1_26_1,27,1
1_11_1,1_29_1,30,12
1_11_1,1_30_1,31,12
1_11_1,1_31_1,32,12
1_11_1,1_24_1,25,12
