id,layer,dpid
64_26_30,0,0000000000401a1e
64_11_32,0,0000000000400b20
64_24_22,0,0000000000401816
64_30_3,0,0000000000401e03
64_28_14,0,0000000000401c0e
64_6_32,0,0000000000400620
64_27_2,0,0000000000401b02
64_6_30,0,000000000040061e
64_6_31,0,000000000040061f
64_27_3,0,0000000000401b03
64_28_9,0,0000000000401c09
64_28_8,0,0000000000401c08
64_29_14,0,0000000000401d0e
64_28_1,0,0000000000401c01
64_28_3,0,0000000000401c03
64_28_2,0,0000000000401c02
64_28_5,0,0000000000401c05
64_28_4,0,0000000000401c04
64_28_7,0,0000000000401c07
64_28_6,0,0000000000401c06
64_13_28,0,0000000000400d1c
64_13_29,0,0000000000400d1d
64_30_32,0,0000000000401e20
64_13_22,0,0000000000400d16
64_13_23,0,0000000000400d17
64_13_20,0,0000000000400d14
64_13_21,0,0000000000400d15
64_13_26,0,0000000000400d1a
64_13_27,0,0000000000400d1b
64_13_24,0,0000000000400d18
64_13_25,0,0000000000400d19
64_28_16,0,0000000000401c10
64_27_8,0,0000000000401b08
64_27_9,0,0000000000401b09
64_19_18,0,0000000000401312
64_17_17,0,0000000000401111
64_12_25,0,0000000000400c19
64_12_24,0,0000000000400c18
64_12_27,0,0000000000400c1b
64_12_26,0,0000000000400c1a
64_12_21,0,0000000000400c15
64_12_20,0,0000000000400c14
64_12_23,0,0000000000400c17
64_3_6,0,0000000000400306
64_12_29,0,0000000000400c1d
64_1_31,0,000000000040011f
64_23_18,0,0000000000401712
64_30_30,0,0000000000401e1e
64_3_4,0,0000000000400304
64_18_17,0,0000000000401211
64_28_10,0,0000000000401c0a
64_9_19,0,0000000000400913
64_9_18,0,0000000000400912
64_9_15,0,000000000040090f
64_9_14,0,000000000040090e
64_9_17,0,0000000000400911
64_9_16,0,0000000000400910
64_9_11,0,000000000040090b
64_9_10,0,000000000040090a
64_9_13,0,000000000040090d
64_9_12,0,000000000040090c
64_30_31,0,0000000000401e1f
64_17_31,0,000000000040111f
64_17_30,0,000000000040111e
64_17_32,0,0000000000401120
64_22_31,0,000000000040161f
64_22_30,0,000000000040161e
64_22_32,0,0000000000401620
64_11_31,0,0000000000400b1f
64_15_29,0,0000000000400f1d
64_23_13,0,000000000040170d
64_11_30,0,0000000000400b1e
64_10_23,0,0000000000400a17
64_15_27,0,0000000000400f1b
64_4_5,0,0000000000400405
64_4_6,0,0000000000400406
64_4_7,0,0000000000400407
64_26_28,0,0000000000401a1c
64_7_17,0,0000000000400711
64_31_1,0,0000000000401f01
64_4_1,0,0000000000400401
64_4_2,0,0000000000400402
64_4_3,0,0000000000400403
64_10_16,0,0000000000400a10
64_10_17,0,0000000000400a11
64_10_14,0,0000000000400a0e
64_10_15,0,0000000000400a0f
64_10_12,0,0000000000400a0c
64_10_13,0,0000000000400a0d
64_10_10,0,0000000000400a0a
64_10_11,0,0000000000400a0b
64_10_29,0,0000000000400a1d
64_10_18,0,0000000000400a12
64_10_19,0,0000000000400a13
64_27_14,0,0000000000401b0e
64_27_15,0,0000000000401b0f
64_27_16,0,0000000000401b10
64_10_28,0,0000000000400a1c
64_27_10,0,0000000000401b0a
64_27_11,0,0000000000401b0b
64_27_12,0,0000000000401b0c
64_27_13,0,0000000000401b0d
64_4_8,0,0000000000400408
64_15_2,0,0000000000400f02
64_27_18,0,0000000000401b12
64_15_17,0,0000000000400f11
64_4_9,0,0000000000400409
64_17_18,0,0000000000401112
64_27_21,0,0000000000401b15
64_4_4,0,0000000000400404
64_7_9,0,0000000000400709
64_7_8,0,0000000000400708
64_7_3,0,0000000000400703
64_7_2,0,0000000000400702
64_7_1,0,0000000000400701
64_29_11,0,0000000000401d0b
64_7_7,0,0000000000400707
64_7_6,0,0000000000400706
64_7_5,0,0000000000400705
64_7_4,0,0000000000400704
64_5_9,0,0000000000400509
64_5_8,0,0000000000400508
64_5_5,0,0000000000400505
64_5_4,0,0000000000400504
64_5_7,0,0000000000400507
64_5_6,0,0000000000400506
64_5_1,0,0000000000400501
64_5_3,0,0000000000400503
64_5_2,0,0000000000400502
64_3_9,0,0000000000400309
64_3_8,0,0000000000400308
64_3_7,0,0000000000400307
64_1_32,0,0000000000400120
64_3_5,0,0000000000400305
64_1_30,0,000000000040011e
64_3_3,0,0000000000400303
64_3_2,0,0000000000400302
64_3_1,0,0000000000400301
64_17_16,0,0000000000401110
64_1_1,0,0000000000400101
64_1_3,0,0000000000400103
64_1_2,0,0000000000400102
64_1_5,0,0000000000400105
64_1_4,0,0000000000400104
64_1_7,0,0000000000400107
64_1_6,0,0000000000400106
64_1_9,0,0000000000400109
64_1_8,0,0000000000400108
64_8_1,0,0000000000400801
64_8_2,0,0000000000400802
64_8_3,0,0000000000400803
64_8_4,0,0000000000400804
64_8_5,0,0000000000400805
64_8_6,0,0000000000400806
64_8_7,0,0000000000400807
64_8_8,0,0000000000400808
64_8_9,0,0000000000400809
64_27_32,0,0000000000401b20
64_27_30,0,0000000000401b1e
64_27_31,0,0000000000401b1f
64_32_29,0,000000000040201d
64_32_28,0,000000000040201c
64_12_18,0,0000000000400c12
64_12_19,0,0000000000400c13
64_12_14,0,0000000000400c0e
64_12_15,0,0000000000400c0f
64_12_16,0,0000000000400c10
64_12_17,0,0000000000400c11
64_12_10,0,0000000000400c0a
64_12_11,0,0000000000400c0b
64_12_12,0,0000000000400c0c
64_12_13,0,0000000000400c0d
64_16_8,0,0000000000401008
64_16_9,0,0000000000401009
64_16_6,0,0000000000401006
64_16_7,0,0000000000401007
64_16_4,0,0000000000401004
64_16_5,0,0000000000401005
64_16_2,0,0000000000401002
64_16_3,0,0000000000401003
64_28_31,0,0000000000401c1f
64_16_1,0,0000000000401001
64_22_25,0,0000000000401619
64_14_1,0,0000000000400e01
64_14_2,0,0000000000400e02
64_14_3,0,0000000000400e03
64_14_4,0,0000000000400e04
64_14_5,0,0000000000400e05
64_14_6,0,0000000000400e06
64_14_7,0,0000000000400e07
64_14_8,0,0000000000400e08
64_14_9,0,0000000000400e09
64_32_20,0,0000000000402014
64_26_22,0,0000000000401a16
64_18_30,0,000000000040121e
64_18_31,0,000000000040121f
64_18_32,0,0000000000401220
64_18_4,0,0000000000401204
64_18_5,0,0000000000401205
64_18_6,0,0000000000401206
64_18_7,0,0000000000401207
64_18_1,0,0000000000401201
64_18_2,0,0000000000401202
