id,layer,dpid
0_22_1,0,0000000000001601
0_25_1,0,0000000000001901
0_15_1,0,0000000000000f01
0_23_1,0,0000000000001701
0_14_1,0,0000000000000e01
0_27_1,0,0000000000001b01
0_17_1,0,0000000000001101
0_24_1,0,0000000000001801
0_16_1,0,0000000000001001
0_18_1,0,0000000000001201
0_11_1,0,0000000000000b01
0_38_1,0,0000000000002601
0_31_1,0,0000000000001f01
0_10_1,0,0000000000000a01
0_12_1,0,0000000000000c01
0_5_1,0,0000000000000501
0_34_1,0,0000000000002201
0_37_1,0,0000000000002501
0_19_1,0,0000000000001301
0_35_1,0,0000000000002301
0_32_1,0,0000000000002001
0_7_1,0,0000000000000701
0_4_1,0,0000000000000401
0_13_1,0,0000000000000d01
0_8_1,0,0000000000000801
0_1_1,0,0000000000000101
0_33_1,0,0000000000002101
0_9_1,0,0000000000000901
0_6_1,0,0000000000000601
0_36_1,0,0000000000002401
0_21_1,0,0000000000001501
0_28_1,0,0000000000001c01
0_0_1,0,0000000000000001
0_26_1,0,0000000000001a01
0_29_1,0,0000000000001d01
0_2_1,0,0000000000000201
0_30_1,0,0000000000001e01
0_3_1,0,0000000000000301
0_20_1,0,0000000000001401
